,surface_reelle_bati,code_commune,type_local,valeur_fonciere
981558,30.0,93033,Appartement,154500.0
968771,19.0,93001,Appartement,110000.0
1052915,44.0,75115,Appartement,420000.0
949831,70.0,92073,Appartement,677700.0
1063108,134.0,75116,Appartement,2200000.0
1032923,28.0,75110,Appartement,315800.0
1036420,90.0,75102,Appartement,615000.0
982327,58.0,93032,Appartement,185000.0
965631,150.0,92020,Maison,1225000.0
959363,61.0,92060,Appartement,402562.0
992883,49.0,94080,Appartement,510000.0
1053627,31.0,75114,Appartement,345000.0
983907,69.0,94046,Appartement,435000.0
999641,40.0,94052,Appartement,110000.0
963973,96.0,92002,Maison,553000.0
1053649,100.0,75115,Appartement,900000.0
986480,42.0,94080,Appartement,388950.0
964595,69.0,92002,Appartement,524616.0
997203,58.0,94077,Appartement,225000.0
987649,67.0,94052,Appartement,360000.0
1029132,45.0,75118,Appartement,525400.0
947720,61.0,92004,Appartement,310000.0
974494,88.0,93073,Maison,348000.0
966573,95.0,92023,Appartement,699000.0
1031030,15.0,75109,Appartement,175435.0
995265,90.0,94018,Appartement,974500.0
1001171,40.0,94058,Appartement,260000.0
971548,38.0,93005,Appartement,189000.0
953162,57.0,92004,Appartement,426500.0
1037605,20.0,75118,Appartement,175000.0
951109,39.0,92051,Appartement,400000.0
1042360,29.0,75118,Appartement,304360.0
987694,56.0,94041,Appartement,175000.0
954068,26.0,92035,Appartement,191000.0
949709,56.0,92024,Appartement,419000.0
1042662,111.0,75117,Appartement,1326000.0
991114,53.0,94021,Appartement,195000.0
976580,47.0,93051,Appartement,152258.0
984400,71.0,94073,Appartement,284500.0
969320,54.0,93063,Maison,255000.0
952954,140.0,92050,Maison,850000.0
982821,76.0,93006,Appartement,563000.0
963060,68.0,92064,Appartement,232650.0
994032,86.0,94076,Appartement,403800.0
999604,28.0,94004,Appartement,138000.0
974022,80.0,93053,Appartement,277000.0
1044713,36.0,75120,Appartement,316146.0
981254,60.0,93051,Maison,380000.0
960531,13.0,92077,Appartement,154285.0
1056799,58.0,75113,Appartement,561000.0
960111,86.0,92040,Appartement,516730.0
1046694,14.0,75109,Appartement,138000.0
1045530,60.0,75109,Appartement,758340.0
1000130,59.0,94028,Appartement,130000.0
999671,49.0,94028,Appartement,165000.0
1054726,13.0,75111,Appartement,95000.0
1058581,17.0,75115,Appartement,220000.0
1052995,75.0,75116,Appartement,870000.0
952471,83.0,92044,Appartement,796505.0
994264,82.0,94052,Appartement,536500.0
1057747,44.0,75116,Appartement,390000.0
993842,92.0,94028,Appartement,437755.0
961895,88.0,92012,Appartement,837500.0
998987,99.0,94080,Appartement,1236000.0
999720,40.0,94080,Appartement,355000.0
956676,64.0,92023,Appartement,275000.0
988562,55.0,94034,Maison,425000.0
1063105,23.0,75111,Appartement,270000.0
983251,79.0,93027,Appartement,190000.0
988250,55.0,94068,Appartement,490000.0
981292,17.0,93070,Maison,94000.0
988573,66.0,94041,Appartement,369000.0
992254,34.0,94068,Appartement,275107.0
965390,500.0,92064,Maison,5000000.0
1044177,27.0,75118,Appartement,319000.0
970028,60.0,93005,Maison,348000.0
994047,60.0,94021,Appartement,267425.62
1054966,131.0,75106,Appartement,2340000.0
944584,64.0,92024,Appartement,447000.0
1063117,70.0,75112,Appartement,808000.0
1046312,15.0,75117,Appartement,120000.0
1043942,20.0,75118,Appartement,160000.0
959000,57.0,92040,Appartement,483500.0
946612,20.0,92024,Appartement,115000.0
1053154,38.0,75113,Appartement,430000.0
1032461,48.0,75118,Appartement,504000.0
971436,40.0,93070,Appartement,342000.0
951386,90.0,92025,Maison,914000.0
1050955,73.0,75114,Appartement,870000.0
954335,45.0,92044,Appartement,453700.0
982551,49.0,93059,Appartement,117800.0
1029930,9.0,75110,Appartement,108320.0
945129,35.0,92035,Appartement,270000.0
1039806,69.0,75110,Appartement,770000.0
996480,73.0,94034,Appartement,220000.0
995247,105.0,94068,Maison,880000.0
966863,76.0,92064,Appartement,495100.0
974753,85.0,93032,Maison,380000.0
954289,33.0,92026,Appartement,271750.0
1057889,144.0,75116,Appartement,1050000.0
999554,74.0,94018,Appartement,815000.0
1059370,56.0,75113,Appartement,500000.0
1031303,70.0,75103,Appartement,550160.0
978727,47.0,93029,Maison,190000.0
957747,27.0,92049,Appartement,207700.0
960263,18.0,92012,Appartement,75000.0
1062797,215.0,75116,Appartement,2490000.0
992716,33.0,94058,Appartement,185000.0
1061500,138.0,75107,Appartement,2049566.0
1046424,57.0,75108,Appartement,463000.0
948680,150.0,92063,Maison,987770.0
962852,90.0,92040,Appartement,525000.0
986907,106.0,94015,Appartement,630000.0
1043194,20.0,75119,Appartement,312600.0
1043210,23.0,75118,Appartement,240000.0
1041956,175.0,75109,Appartement,2150000.0
986938,30.0,94018,Appartement,335000.0
1041312,29.0,75118,Appartement,245000.0
1065203,117.0,75116,Appartement,1500000.0
964695,52.0,92023,Appartement,329000.0
1045567,31.0,75119,Appartement,306675.0
1051122,28.0,75111,Appartement,260000.0
1047112,30.0,75116,Appartement,345640.0
1062250,65.0,75106,Appartement,668000.0
1049849,17.0,75112,Appartement,176350.0
974798,64.0,93066,Appartement,230200.0
994956,78.0,94081,Appartement,305000.0
983387,17.0,93045,Appartement,145700.0
1053808,17.0,75111,Appartement,191700.0
966830,50.0,92012,Appartement,390000.0
998842,65.0,94078,Appartement,480000.0
963164,52.0,92012,Appartement,453500.0
1049155,62.0,75112,Appartement,663958.0
997771,46.0,94079,Appartement,105000.0
950176,100.0,92009,Maison,622800.0
1050727,12.0,75107,Appartement,200000.0
971776,128.0,93014,Maison,250000.0
990079,140.0,94058,Maison,1350000.0
1037396,37.0,75110,Appartement,339150.0
966728,150.0,92064,Appartement,709431.0
975930,47.0,93048,Maison,245000.0
988435,70.0,94041,Appartement,380000.0
1032068,42.0,75119,Appartement,400000.0
1040838,12.0,75117,Appartement,710000.0
1044262,47.0,75118,Appartement,293900.0
987667,86.0,94067,Appartement,622000.0
